iter	Logloss
472	0.09075852596
473	0.09061735241
474	0.09055220592
475	0.09043083815
476	0.09037410744
477	0.09027900529
478	0.09023896022
479	0.09010567038
480	0.09001476447
481	0.08989461394
482	0.08980989035
483	0.08970675442
484	0.08966825954
485	0.08964094419
486	0.08960474833
487	0.08950671459
488	0.08940048903
489	0.08934354616
490	0.08929643284
491	0.08916295104
492	0.08911495649
493	0.08899305853
494	0.08893691203
495	0.08884097596
496	0.08873364167
497	0.08862383105
498	0.088550403
499	0.08849947269
500	0.08846373769
501	0.08840851311
502	0.08826829692
503	0.08818320281
504	0.08808803035
505	0.08797938169
506	0.08787337724
507	0.08780508883
508	0.08774601882
509	0.08771516208
510	0.08761569446
511	0.08745949241
512	0.08734114597
513	0.08728371795
514	0.08716018451
515	0.08710375885
516	0.08699305906
517	0.08693272373
518	0.08682666922
519	0.08669906538
520	0.08661822973
521	0.08656555618
522	0.08645655942
523	0.08636247029
524	0.0863315594
525	0.08627055956
526	0.08623349574
527	0.08613420051
528	0.08601369449
529	0.08591999548
530	0.08585439779
531	0.08577522891
532	0.0856968291
533	0.08565109048
534	0.08558106902
535	0.08549221671
536	0.08543947637
537	0.08539790618
538	0.08532938249
539	0.08529888472
540	0.08522113927
541	0.08514000897
542	0.08510460429
543	0.08500251199
544	0.08494223051
545	0.08489323199
546	0.08481211403
547	0.08478592873
548	0.084655655
549	0.08457700367
550	0.08447209491
551	0.08440240465
552	0.08428752746
553	0.08424662593
554	0.08414926953
555	0.08408054372
556	0.08402243839
557	0.08395951137
558	0.083885643
559	0.08379548655
560	0.08373472531
561	0.08362878314
562	0.08355943344
563	0.08351028483
564	0.08343680963
565	0.08334765546
566	0.0832596728
567	0.08317106051
568	0.0830882314
569	0.08298493976
570	0.0829058406
571	0.08271643646
572	0.08261731897
573	0.08256859359
574	0.0824902442
575	0.08239610307
576	0.08231093687
577	0.08223679684
578	0.08217656263
579	0.08208495781
580	0.08195403281
581	0.08183815712
582	0.08175855445
583	0.08165941495
584	0.08155134383
585	0.08149567836
586	0.08143747154
587	0.08134761051
588	0.08127496351
589	0.08123530881
590	0.0811492141
591	0.08106823565
592	0.08102268015
593	0.08089732586
594	0.08078061054
595	0.08068280612
596	0.0806241826
597	0.08053025205
598	0.08043137999
599	0.08035056342
600	0.08019221894
601	0.08008846291
602	0.0800550468
603	0.07999871562
604	0.07991047374
605	0.07982859149
606	0.07978260328
607	0.07970560103
608	0.07962894792
609	0.07952265528
610	0.07947623802
611	0.07942854824
612	0.07934711457
613	0.0792758167
614	0.0791776343
615	0.0791207557
616	0.07906896508
617	0.07900193158
618	0.07892163141
619	0.07881809717
620	0.07871956795
621	0.07869358634
622	0.07861252925
623	0.07854613346
624	0.07852603119
625	0.07845497151
626	0.0783641981
627	0.07829538048
628	0.07817360927
629	0.07804971931
630	0.07792427263
631	0.07785939849
632	0.07777795393
633	0.07771648439
634	0.07766924462
635	0.07762889791
636	0.077580132
637	0.07750813215
638	0.07743781436
639	0.07730854104
640	0.07725215908
641	0.07721680554
642	0.07711661124
643	0.07707824601
644	0.0770396356
645	0.07699414282
646	0.0769653663
647	0.07687986243
648	0.07680461874
649	0.07677457722
650	0.07671360755
651	0.07665078587
652	0.07657593594
653	0.07650784111
654	0.07645997608
655	0.07636565673
656	0.07628013387
657	0.07620020895
658	0.07615623164
659	0.07609505254
660	0.07602143013
661	0.0759791744
662	0.07597327696
663	0.07591453718
664	0.0757902835
665	0.07571184735
666	0.07565542916
667	0.07560005704
668	0.07558284346
669	0.07553586471
670	0.0754748637
671	0.07539457099
672	0.07533100144
673	0.07523334027
674	0.07518181915
675	0.07510445543
676	0.07505988302
677	0.07497420658
678	0.07490561679
679	0.07490022604
680	0.07486850751
681	0.07478533266
682	0.07470521588
683	0.07462734806
684	0.07455031495
685	0.07448363746
686	0.0744260742
687	0.07439025976
688	0.07431547288
689	0.07425795564
690	0.07419705517
691	0.0740910885
692	0.07401162597
693	0.07394429305
694	0.07386424761
695	0.07384861258
696	0.07382238382
697	0.07380804992
698	0.07375010769
699	0.07369087776
700	0.07360091224
701	0.07355223853
702	0.07348851444
703	0.07346743908
704	0.07343084892
705	0.07337986573
706	0.07332708568
707	0.07325327068
708	0.07318908528
709	0.07312886034
710	0.07305699449
711	0.0729935292
712	0.07296906398
713	0.07292127426
714	0.07286165473
715	0.07277075306
716	0.07268981516
717	0.07265872338
718	0.07260049737
719	0.0725604769
720	0.07249393859
721	0.07244324417
722	0.07236915583
723	0.07233326418
724	0.07228548339
725	0.0722422134
726	0.07221346818
727	0.07220069897
728	0.07208493637
729	0.07200179231
730	0.07191135051
731	0.07189933136
732	0.0718455437
733	0.07177632622
734	0.07170725055
735	0.07165090474
736	0.07156126286
737	0.07150849329
738	0.07144102897
739	0.07138131757
740	0.07133797273
741	0.07123121886
742	0.07116819093
743	0.07113398134
744	0.07110246382
745	0.0710668106
746	0.0710554622
747	0.07101354722
748	0.07098260312
749	0.07094763034
750	0.07088460246
751	0.07085581307
752	0.07079744969
753	0.07072680882
754	0.07066999177
755	0.07061623548
756	0.07054118231
757	0.07048085448
758	0.0704270958
759	0.07035193158
760	0.07029760461
761	0.07026805225
762	0.07022975989
763	0.07013291565
764	0.07006900658
765	0.07000171074
766	0.06994718505
767	0.06992107721
768	0.06990907196
769	0.06985494111
770	0.06979455981
771	0.06975211608
772	0.06970385698
773	0.06969195381
774	0.06963772279
775	0.06957460747
776	0.06953179121
777	0.06949676415
778	0.06947154841
779	0.06941250519
780	0.06937270962
781	0.06930678366
782	0.06927796489
783	0.06925027036
784	0.0691752271
785	0.069122979
786	0.06907152896
787	0.0689934635
788	0.06893062792
789	0.06886961987
790	0.06880052419
791	0.06876893733
792	0.06868736554
793	0.06861731384
794	0.06855390169
795	0.06849426342
796	0.0683980338
797	0.0683906896
798	0.06834749195
799	0.0683087847
800	0.06827144555
801	0.06817904084
802	0.06811690272
803	0.06807766941
804	0.06800875351
805	0.06799152476
806	0.06791967225
807	0.06784904268
808	0.06777923432
809	0.06774886326
810	0.06769054842
811	0.06761722193
812	0.06755450669
813	0.06748444452
814	0.06745933303
815	0.06739921648
816	0.0673235437
817	0.06726423989
818	0.0671895748
819	0.06712327349
820	0.06707111833
821	0.06700068741
822	0.06693607677
823	0.06689538472
824	0.06682215422
825	0.06678936446
826	0.06673121628
827	0.0666841916
828	0.06663642189
829	0.06659141399
830	0.06652030005
831	0.06646962511
832	0.06643562256
833	0.06638898655
834	0.06634784578
835	0.06630946105
836	0.06622468871
837	0.06620475675
838	0.06613838279
839	0.06607792729
840	0.06603361274
841	0.06598378365
842	0.06595395856
843	0.06591019562
844	0.06588577759
845	0.06579544488
846	0.06577274417
847	0.06574207691
848	0.06570924557
849	0.06563926861
850	0.06555954072
851	0.06552667408
852	0.06551706242
853	0.06546459655
854	0.06542435497
855	0.06532680811
856	0.06525474454
857	0.06520482394
858	0.06516936356
859	0.0651603917
860	0.06511327552
861	0.06509916241
862	0.06504337632
863	0.064990984
864	0.06498279326
865	0.06496737025
866	0.06493738986
867	0.06490506046
868	0.06487656095
869	0.06482518516
870	0.06477436425
871	0.06474158311
872	0.06467072221
873	0.06463258113
874	0.06459935634
875	0.06456938515
876	0.0645180031
877	0.06450246945
878	0.06443202976
879	0.06441723143
880	0.06436756442
881	0.06434204771
882	0.06429069665
883	0.0642334482
884	0.06417168508
885	0.06415244716
886	0.06408184658
887	0.06404143629
888	0.06399679776
889	0.06394086926
890	0.06390855945
891	0.06383053058
892	0.06378969029
893	0.06375682328
894	0.06372343775
895	0.06369737175
896	0.0636658897
897	0.06361828121
898	0.06359077184
899	0.06356223973
900	0.0635168816
901	0.06349566126
902	0.06345175681
903	0.06340052449
904	0.06332334523
905	0.06330677186
906	0.0632708665
907	0.06324434766
908	0.06319075919
909	0.06313681923
910	0.06309937697
911	0.06303886865
912	0.06301500294
913	0.06298669659
914	0.06297962537
915	0.06291191961
916	0.06286944772
917	0.06284251104
918	0.06281696522
919	0.062803006
920	0.06276040416
921	0.06270543829
922	0.06264256633
923	0.06261337243
924	0.06257250227
925	0.06253609593
926	0.06251291914
927	0.06246393841
928	0.06241592214
929	0.06233979206
930	0.06224807731
931	0.06221437223
932	0.06216674364
933	0.06214459359
934	0.06211184744
935	0.06208174747
936	0.06199712751
937	0.06197137554
938	0.06192932218
939	0.06188741795
940	0.06184910602
941	0.06180872949
942	0.06176557429
943	0.06173515117
944	0.06170880862
945	0.06167084252
946	0.06164053604
947	0.06161964647
948	0.06157981182
949	0.06154302187
950	0.06150848423
951	0.06147287403
952	0.06144928643
953	0.06142898202
954	0.06138280482
955	0.06135083474
956	0.06128559283
957	0.06124564499
958	0.0612145678
959	0.06115673655
960	0.06112343598
961	0.06109333855
962	0.06106186348
963	0.06102460222
964	0.06098556389
965	0.0609362594
966	0.06086941306
967	0.0608327894
968	0.06075698129
969	0.06070394638
970	0.06068570583
971	0.06065359698
972	0.06059612914
973	0.06056826496
974	0.06053429643
975	0.06050133572
976	0.06048292464
977	0.06044534806
978	0.06041065778
979	0.06037507199
980	0.06034076682
981	0.06028534296
982	0.06025255523
983	0.06021346545
984	0.06017251427
985	0.06011746399
986	0.06010827448
987	0.06008751977
988	0.06000050986
989	0.05996142172
990	0.05992501297
991	0.05986975976
992	0.0598113539
993	0.05978769594
994	0.05974650208
995	0.05971044677
996	0.05965836341
997	0.05960341211
998	0.05954125834
999	0.0594791817
